ngram_range,max_features,n_features,cv_f1,cv_precision,cv_recall,table_bytes,table_gzip_bytes
1-2,10000,10000,0.882136,0.931907,0.837413,568091,109784
1-2,20000,20000,0.876738,0.932939,0.826923,1138935,208590
1-2,50000,50000,0.869238,0.940937,0.807692,2887524,457066
1-2,100000,73755,0.864967,0.940452,0.800699,4270808,641273
1-2,none,73755,0.864967,0.940452,0.800699,4270808,641273
1-3,10000,10000,0.878229,0.929688,0.832168,569239,107900
1-3,20000,20000,0.875233,0.936255,0.821678,1150400,204324
1-3,50000,50000,0.866038,0.940574,0.802448,2911068,465555
1-3,100000,100000,0.855225,0.946921,0.779720,5910633,829252
1-3,none,221979,0.840665,0.953437,0.751748,13215094,1687041
1-4,10000,10000,0.877645,0.926214,0.833916,569681,105209
1-4,20000,20000,0.874652,0.932673,0.823427,1151969,198817
1-4,50000,50000,0.863894,0.940329,0.798951,2920346,449557
1-4,100000,100000,0.848309,0.948164,0.767483,5953294,811306
1-4,none,400742,0.814889,0.959716,0.708042,24414085,2712036
2-3,10000,10000,0.873239,0.943205,0.812937,573506,106387
2-3,20000,20000,0.866856,0.942505,0.802448,1156137,200712
2-3,50000,50000,0.843233,0.951648,0.756993,2921211,459551
2-3,100000,100000,0.830861,0.956720,0.734266,5927743,821324
2-3,none,218482,0.804481,0.963415,0.690559,13018626,1654507
2-4,10000,10000,0.871119,0.942974,0.809441,574092,103044
2-4,20000,20000,0.863378,0.943983,0.795455,1156969,194143
2-4,50000,50000,0.845781,0.949891,0.762238,2930260,442613
2-4,100000,100000,0.831683,0.958904,0.734266,5975500,802776
2-4,none,397245,0.773585,0.965969,0.645105,24212461,2675206
